humidity_out,statetime
12.0,"2019-10-23 12:27:36"
13.0,"2019-10-23 12:25:36"
12.0,"2019-10-23 12:24:06"
13.0,"2019-10-23 12:21:06"
12.0,"2019-10-23 11:45:06"
13.0,"2019-10-23 11:43:36"
12.0,"2019-10-23 11:43:06"
13.0,"2019-10-23 10:58:35"
14.0,"2019-10-23 10:12:36"
15.0,"2019-10-23 10:12:05"
14.0,"2019-10-23 10:11:05"
15.0,"2019-10-23 10:10:35"
14.0,"2019-10-23 10:10:05"
15.0,"2019-10-23 10:09:05"
14.0,"2019-10-23 10:08:05"
15.0,"2019-10-23 09:17:05"
16.0,"2019-10-23 09:09:35"
15.0,"2019-10-23 09:08:05"
16.0,"2019-10-23 09:06:05"
15.0,"2019-10-23 09:05:35"
16.0,"2019-10-23 09:05:05"
15.0,"2019-10-23 09:04:35"
16.0,"2019-10-23 09:04:05"
15.0,"2019-10-23 08:58:35"
16.0,"2019-10-23 08:49:35"
15.0,"2019-10-23 08:49:05"
16.0,"2019-10-23 08:41:35"
15.0,"2019-10-23 08:40:05"
16.0,"2019-10-23 08:39:35"
15.0,"2019-10-23 08:38:05"
16.0,"2019-10-23 08:37:05"
15.0,"2019-10-23 08:36:35"
16.0,"2019-10-23 07:03:35"
17.0,"2019-10-23 07:02:35"
16.0,"2019-10-23 06:58:35"
17.0,"2019-10-23 06:38:35"
16.0,"2019-10-23 06:38:05"
17.0,"2019-10-23 04:45:35"
18.0,"2019-10-23 04:45:05"
17.0,"2019-10-23 04:44:35"
18.0,"2019-10-23 04:43:35"
17.0,"2019-10-23 04:42:35"
18.0,"2019-10-23 04:42:05"
17.0,"2019-10-23 04:41:05"
18.0,"2019-10-23 04:40:35"
17.0,"2019-10-23 04:39:35"
18.0,"2019-10-23 04:39:05"
17.0,"2019-10-23 04:38:05"
18.0,"2019-10-23 04:37:35"
17.0,"2019-10-23 04:36:05"
18.0,"2019-10-23 04:29:35"
17.0,"2019-10-23 04:27:35"
18.0,"2019-10-23 04:25:35"
17.0,"2019-10-23 04:25:05"
18.0,"2019-10-23 04:20:35"
17.0,"2019-10-23 04:20:05"
18.0,"2019-10-23 04:19:05"
17.0,"2019-10-23 04:17:35"
18.0,"2019-10-23 04:16:35"
17.0,"2019-10-23 04:10:35"
18.0,"2019-10-23 04:06:35"
17.0,"2019-10-23 04:05:05"
18.0,"2019-10-23 04:04:05"
17.0,"2019-10-23 04:03:35"
18.0,"2019-10-23 03:22:35"
19.0,"2019-10-23 03:22:05"
18.0,"2019-10-23 03:19:05"
17.0,"2019-10-23 03:18:35"
18.0,"2019-10-23 03:17:05"
17.0,"2019-10-23 03:16:35"
18.0,"2019-10-23 03:16:05"
17.0,"2019-10-23 03:15:05"
18.0,"2019-10-23 03:14:35"
17.0,"2019-10-23 03:13:35"
18.0,"2019-10-23 03:13:05"
17.0,"2019-10-23 03:12:35"
18.0,"2019-10-23 03:11:38"
17.0,"2019-10-23 03:11:05"
18.0,"2019-10-23 03:10:35"
17.0,"2019-10-23 03:10:05"
18.0,"2019-10-23 03:09:35"
17.0,"2019-10-23 03:06:05"
18.0,"2019-10-23 03:05:05"
17.0,"2019-10-23 03:04:35"
18.0,"2019-10-23 03:04:06"
17.0,"2019-10-23 03:02:05"
18.0,"2019-10-23 03:01:35"
17.0,"2019-10-23 03:01:05"
18.0,"2019-10-23 03:00:35"
17.0,"2019-10-23 02:59:35"
18.0,"2019-10-23 02:56:35"
17.0,"2019-10-23 02:55:35"
18.0,"2019-10-23 02:54:05"
17.0,"2019-10-23 02:50:05"
18.0,"2019-10-23 02:48:35"
17.0,"2019-10-23 02:33:05"
18.0,"2019-10-23 02:32:05"
17.0,"2019-10-23 02:31:05"
18.0,"2019-10-23 02:30:35"
17.0,"2019-10-23 02:29:05"
18.0,"2019-10-23 02:28:35"
17.0,"2019-10-23 02:27:35"
18.0,"2019-10-23 02:27:05"
17.0,"2019-10-23 02:26:35"
18.0,"2019-10-23 02:26:05"
17.0,"2019-10-23 02:24:35"
18.0,"2019-10-23 02:23:35"
17.0,"2019-10-23 02:19:35"
18.0,"2019-10-23 02:19:05"
17.0,"2019-10-23 01:51:05"
18.0,"2019-10-23 01:50:35"
17.0,"2019-10-22 23:59:05"
18.0,"2019-10-22 23:58:35"
17.0,"2019-10-22 19:55:05"
16.0,"2019-10-22 17:09:35"
15.0,"2019-10-22 17:08:35"
16.0,"2019-10-22 17:08:05"
15.0,"2019-10-22 15:48:04"
14.0,"2019-10-22 15:28:04"
13.0,"2019-10-22 15:19:04"
12.0,"2019-10-22 15:09:04"
11.0,"2019-10-22 15:06:04"
12.0,"2019-10-22 15:04:04"
11.0,"2019-10-22 14:58:04"
10.0,"2019-10-22 14:52:04"
9.0,"2019-10-22 14:41:34"
8.0,"2019-10-22 14:26:34"
7.0,"2019-10-22 14:26:04"
8.0,"2019-10-22 14:25:04"
7.0,"2019-10-22 14:24:34"
8.0,"2019-10-22 14:24:04"
7.0,"2019-10-22 13:59:34"
6.0,"2019-10-22 13:55:34"
7.0,"2019-10-22 13:54:04"
6.0,"2019-10-22 13:52:34"
7.0,"2019-10-22 13:50:34"
6.0,"2019-10-22 13:49:04"
7.0,"2019-10-22 13:47:34"
6.0,"2019-10-22 13:45:04"
7.0,"2019-10-22 13:41:04"
6.0,"2019-10-22 13:40:04"
7.0,"2019-10-22 13:37:34"
6.0,"2019-10-22 13:35:34"
7.0,"2019-10-22 13:35:04"
6.0,"2019-10-22 13:34:04"
5.0,"2019-10-22 13:33:34"
6.0,"2019-10-22 13:32:34"
5.0,"2019-10-22 13:25:04"
6.0,"2019-10-22 13:24:34"
5.0,"2019-10-22 13:24:04"
6.0,"2019-10-22 13:23:34"
5.0,"2019-10-22 13:21:34"
6.0,"2019-10-22 13:19:34"
7.0,"2019-10-22 13:11:34"
8.0,"2019-10-22 13:10:34"
9.0,"2019-10-22 13:08:34"
10.0,"2019-10-22 13:07:04"
11.0,"2019-10-22 12:51:34"
12.0,"2019-10-22 12:51:04"
11.0,"2019-10-22 12:49:34"
12.0,"2019-10-22 12:47:34"
11.0,"2019-10-22 12:21:04"
12.0,"2019-10-22 12:20:34"
11.0,"2019-10-22 12:19:34"
12.0,"2019-10-22 12:18:34"
11.0,"2019-10-22 12:08:34"
12.0,"2019-10-22 11:44:34"
13.0,"2019-10-22 11:22:04"
12.0,"2019-10-22 11:21:34"
13.0,"2019-10-22 10:55:04"
14.0,"2019-10-22 10:09:34"
15.0,"2019-10-22 09:56:33"
14.0,"2019-10-22 09:55:33"
15.0,"2019-10-22 09:45:03"
14.0,"2019-10-22 09:44:33"
15.0,"2019-10-22 09:36:03"
14.0,"2019-10-22 09:33:33"
15.0,"2019-10-22 09:33:03"
14.0,"2019-10-22 09:29:33"
15.0,"2019-10-22 09:28:03"
14.0,"2019-10-22 09:25:33"
15.0,"2019-10-22 09:25:03"
14.0,"2019-10-22 09:24:33"
15.0,"2019-10-22 09:21:33"
14.0,"2019-10-22 09:20:03"
15.0,"2019-10-22 09:19:33"
14.0,"2019-10-22 09:15:33"
15.0,"2019-10-22 09:15:04"
14.0,"2019-10-22 09:14:33"
15.0,"2019-10-22 09:14:03"
14.0,"2019-10-22 09:13:33"
15.0,"2019-10-22 09:11:33"
14.0,"2019-10-22 09:11:03"
15.0,"2019-10-22 09:10:03"
14.0,"2019-10-22 09:09:03"
15.0,"2019-10-22 09:08:33"
14.0,"2019-10-22 09:07:33"
15.0,"2019-10-22 09:07:03"
14.0,"2019-10-22 09:02:33"
15.0,"2019-10-22 07:32:03"
16.0,"2019-10-22 07:30:34"
15.0,"2019-10-22 07:24:03"
16.0,"2019-10-22 07:15:33"
15.0,"2019-10-22 07:14:03"
16.0,"2019-10-22 07:12:33"
15.0,"2019-10-22 07:11:04"
16.0,"2019-10-22 07:09:33"
15.0,"2019-10-22 07:09:03"
16.0,"2019-10-22 06:46:33"
15.0,"2019-10-22 06:46:03"
16.0,"2019-10-22 05:10:03"
17.0,"2019-10-22 05:09:33"
16.0,"2019-10-22 05:09:03"
17.0,"2019-10-22 05:05:03"
16.0,"2019-10-22 05:00:03"
17.0,"2019-10-22 04:34:33"
16.0,"2019-10-22 04:34:03"
17.0,"2019-10-22 04:13:33"
16.0,"2019-10-22 04:13:03"
17.0,"2019-10-22 04:09:33"
16.0,"2019-10-22 04:07:33"
17.0,"2019-10-22 04:06:33"
16.0,"2019-10-22 03:54:33"
17.0,"2019-10-22 03:35:03"
16.0,"2019-10-22 03:33:33"
17.0,"2019-10-22 03:33:03"
16.0,"2019-10-22 03:29:33"
17.0,"2019-10-22 03:26:03"
16.0,"2019-10-22 03:25:33"
17.0,"2019-10-22 03:25:03"
16.0,"2019-10-22 03:24:03"
17.0,"2019-10-22 03:23:03"
16.0,"2019-10-22 03:22:33"
17.0,"2019-10-22 03:22:03"
16.0,"2019-10-22 03:16:03"
17.0,"2019-10-22 03:15:33"
16.0,"2019-10-22 03:15:03"
17.0,"2019-10-22 03:14:33"
16.0,"2019-10-22 03:11:33"
17.0,"2019-10-22 03:11:03"
16.0,"2019-10-22 03:09:33"
17.0,"2019-10-22 03:09:03"
16.0,"2019-10-22 03:07:33"
17.0,"2019-10-22 02:59:03"
16.0,"2019-10-22 02:58:33"
17.0,"2019-10-22 02:54:33"
16.0,"2019-10-22 02:31:33"
17.0,"2019-10-22 02:31:03"
16.0,"2019-10-22 02:29:33"
17.0,"2019-10-22 02:27:33"
16.0,"2019-10-22 02:27:03"
17.0,"2019-10-22 02:23:03"
16.0,"2019-10-22 02:21:03"
17.0,"2019-10-22 02:20:03"
16.0,"2019-10-22 02:19:03"
17.0,"2019-10-22 02:18:03"
16.0,"2019-10-21 21:22:03"
15.0,"2019-10-21 21:21:33"
16.0,"2019-10-21 21:19:03"
15.0,"2019-10-21 21:18:33"
16.0,"2019-10-21 21:09:03"
15.0,"2019-10-21 21:08:03"
16.0,"2019-10-21 21:04:33"
15.0,"2019-10-21 21:04:03"
16.0,"2019-10-21 21:03:33"
15.0,"2019-10-21 20:59:33"
16.0,"2019-10-21 20:52:03"
15.0,"2019-10-21 20:51:33"
16.0,"2019-10-21 20:46:03"
15.0,"2019-10-21 20:45:33"
16.0,"2019-10-21 20:43:03"
15.0,"2019-10-21 18:25:03"
14.0,"2019-10-21 18:24:03"
15.0,"2019-10-21 18:23:03"
14.0,"2019-10-21 16:16:33"
13.0,"2019-10-21 16:16:03"
14.0,"2019-10-21 16:15:33"
13.0,"2019-10-21 16:06:03"
14.0,"2019-10-21 16:05:33"
13.0,"2019-10-21 15:34:03"
12.0,"2019-10-21 15:24:33"
11.0,"2019-10-21 15:23:03"
12.0,"2019-10-21 15:22:33"
11.0,"2019-10-21 15:17:03"
10.0,"2019-10-21 15:07:03"
9.0,"2019-10-21 14:56:03"
8.0,"2019-10-21 14:51:33"
7.0,"2019-10-21 14:30:03"
6.0,"2019-10-21 14:20:33"
5.0,"2019-10-21 13:13:32"
6.0,"2019-10-21 13:12:02"
7.0,"2019-10-21 13:10:02"
8.0,"2019-10-21 13:09:32"
9.0,"2019-10-21 13:08:32"
10.0,"2019-10-21 12:16:02"
11.0,"2019-10-21 12:15:32"
10.0,"2019-10-21 12:12:02"
11.0,"2019-10-21 12:11:32"
10.0,"2019-10-21 12:10:02"
11.0,"2019-10-21 12:08:32"
10.0,"2019-10-21 12:05:05"
11.0,"2019-10-21 11:59:32"
10.0,"2019-10-21 11:59:02"
11.0,"2019-10-21 11:26:02"
12.0,"2019-10-21 11:00:32"
13.0,"2019-10-21 10:59:32"
12.0,"2019-10-21 10:56:32"
13.0,"2019-10-21 10:52:02"
12.0,"2019-10-21 10:51:02"
13.0,"2019-10-21 10:00:32"
14.0,"2019-10-21 09:57:02"
13.0,"2019-10-21 09:56:32"
14.0,"2019-10-21 08:45:32"
15.0,"2019-10-21 07:28:02"
16.0,"2019-10-21 06:57:02"
15.0,"2019-10-21 06:56:32"
16.0,"2019-10-21 05:53:32"
17.0,"2019-10-21 05:53:02"
16.0,"2019-10-21 05:52:32"
17.0,"2019-10-21 05:36:02"
18.0,"2019-10-21 05:35:32"
17.0,"2019-10-21 05:28:32"
18.0,"2019-10-21 05:28:02"
17.0,"2019-10-21 05:13:02"
18.0,"2019-10-21 05:12:32"
17.0,"2019-10-21 05:12:02"
18.0,"2019-10-21 05:11:32"
17.0,"2019-10-21 05:09:02"
18.0,"2019-10-21 05:08:32"
17.0,"2019-10-21 05:07:02"
18.0,"2019-10-21 05:06:32"
17.0,"2019-10-21 04:51:32"
18.0,"2019-10-21 04:51:02"
17.0,"2019-10-21 04:50:32"
18.0,"2019-10-21 04:30:32"
17.0,"2019-10-21 04:30:02"
18.0,"2019-10-21 03:21:32"
17.0,"2019-10-21 03:21:02"
18.0,"2019-10-21 03:20:02"
17.0,"2019-10-21 03:19:32"
18.0,"2019-10-21 03:17:02"
17.0,"2019-10-21 03:16:32"
18.0,"2019-10-21 01:24:32"
17.0,"2019-10-21 01:23:32"
18.0,"2019-10-21 01:23:02"
17.0,"2019-10-21 01:22:02"
18.0,"2019-10-21 01:19:32"
17.0,"2019-10-21 01:19:02"
18.0,"2019-10-21 01:18:02"
17.0,"2019-10-21 01:17:32"
18.0,"2019-10-21 01:16:02"
17.0,"2019-10-21 01:11:02"
18.0,"2019-10-21 01:10:02"
17.0,"2019-10-21 01:05:32"
18.0,"2019-10-21 01:05:02"
17.0,"2019-10-21 00:47:32"
18.0,"2019-10-21 00:47:02"
17.0,"2019-10-21 00:19:02"
18.0,"2019-10-21 00:18:32"
17.0,"2019-10-20 21:43:02"
16.0,"2019-10-20 21:42:32"
17.0,"2019-10-20 20:39:02"
18.0,"2019-10-20 20:38:32"
17.0,"2019-10-20 20:38:02"
16.0,"2019-10-20 20:32:32"
17.0,"2019-10-20 20:30:02"
16.0,"2019-10-20 20:28:02"
17.0,"2019-10-20 20:27:02"
16.0,"2019-10-20 20:26:02"
17.0,"2019-10-20 20:25:32"
16.0,"2019-10-20 20:25:02"
17.0,"2019-10-20 20:23:02"
16.0,"2019-10-20 20:21:02"
17.0,"2019-10-20 20:20:32"
16.0,"2019-10-20 18:45:32"
15.0,"2019-10-20 18:42:32"
16.0,"2019-10-20 18:41:02"
15.0,"2019-10-20 18:40:32"
16.0,"2019-10-20 18:30:02"
15.0,"2019-10-20 18:29:02"
16.0,"2019-10-20 18:28:32"
15.0,"2019-10-20 18:27:32"
16.0,"2019-10-20 18:26:32"
15.0,"2019-10-20 18:26:02"
16.0,"2019-10-20 17:19:01"
15.0,"2019-10-20 17:18:01"
16.0,"2019-10-20 17:17:01"
15.0,"2019-10-20 17:15:01"
16.0,"2019-10-20 17:14:32"
15.0,"2019-10-20 17:12:01"
16.0,"2019-10-20 17:11:31"
15.0,"2019-10-20 17:11:01"
16.0,"2019-10-20 17:10:31"
15.0,"2019-10-20 17:10:01"
14.0,"2019-10-20 17:07:01"
15.0,"2019-10-20 17:06:31"
14.0,"2019-10-20 17:05:31"
15.0,"2019-10-20 17:05:01"
14.0,"2019-10-20 17:04:31"
15.0,"2019-10-20 16:44:01"
14.0,"2019-10-20 16:42:01"
15.0,"2019-10-20 16:22:01"
14.0,"2019-10-20 16:20:31"
15.0,"2019-10-20 16:18:31"
14.0,"2019-10-20 16:16:31"
15.0,"2019-10-20 16:08:01"
14.0,"2019-10-20 16:04:01"
15.0,"2019-10-20 16:03:31"
14.0,"2019-10-20 15:59:01"
15.0,"2019-10-20 15:53:31"
14.0,"2019-10-20 15:52:03"
15.0,"2019-10-20 15:51:31"
14.0,"2019-10-20 15:45:01"
15.0,"2019-10-20 15:44:31"
14.0,"2019-10-20 15:40:31"
15.0,"2019-10-20 15:39:01"
14.0,"2019-10-20 15:26:31"
15.0,"2019-10-20 15:26:01"
14.0,"2019-10-20 15:25:31"
15.0,"2019-10-20 15:25:01"
14.0,"2019-10-20 15:21:01"
13.0,"2019-10-20 15:08:01"
12.0,"2019-10-20 14:52:31"
11.0,"2019-10-20 14:51:01"
12.0,"2019-10-20 14:50:31"
11.0,"2019-10-20 14:35:31"
10.0,"2019-10-20 14:20:31"
9.0,"2019-10-20 14:19:31"
10.0,"2019-10-20 14:16:31"
9.0,"2019-10-20 14:16:01"
10.0,"2019-10-20 14:14:31"
9.0,"2019-10-20 14:14:01"
10.0,"2019-10-20 14:12:31"
9.0,"2019-10-20 14:12:01"
10.0,"2019-10-20 14:05:31"
9.0,"2019-10-20 14:04:01"
10.0,"2019-10-20 14:02:01"
9.0,"2019-10-20 14:01:01"
10.0,"2019-10-20 13:55:01"
9.0,"2019-10-20 13:52:01"
10.0,"2019-10-20 13:51:31"
9.0,"2019-10-20 13:51:01"
10.0,"2019-10-20 13:49:31"
9.0,"2019-10-20 13:49:01"
10.0,"2019-10-20 13:48:01"
