temp_in,statetime
27.7,"2019-10-23 04:35:04"
27.6,"2019-10-23 04:34:54"
27.7,"2019-10-23 04:32:04"
27.6,"2019-10-23 04:31:55"
27.7,"2019-10-23 04:30:54"
27.6,"2019-10-23 04:30:44"
27.7,"2019-10-23 04:30:14"
27.6,"2019-10-23 04:29:54"
27.7,"2019-10-23 03:09:54"
27.9,"2019-10-23 03:09:44"
27.7,"2019-10-23 03:09:24"
27.9,"2019-10-23 03:09:14"
27.7,"2019-10-23 03:08:54"
27.9,"2019-10-23 03:08:44"
27.7,"2019-10-23 03:05:54"
27.9,"2019-10-23 03:05:34"
27.7,"2019-10-23 03:05:04"
27.9,"2019-10-23 03:04:54"
27.7,"2019-10-23 03:04:44"
27.9,"2019-10-23 03:04:24"
27.7,"2019-10-23 03:04:04"
27.8,"2019-10-23 03:03:54"
27.9,"2019-10-23 03:02:04"
27.7,"2019-10-23 03:01:54"
27.9,"2019-10-23 03:01:14"
27.8,"2019-10-23 03:01:04"
27.7,"2019-10-23 03:00:44"
27.9,"2019-10-23 03:00:24"
27.7,"2019-10-23 03:00:04"
27.9,"2019-10-23 02:58:54"
27.7,"2019-10-23 02:58:34"
27.9,"2019-10-23 02:58:14"
27.7,"2019-10-23 02:58:04"
27.8,"2019-10-23 02:57:54"
27.9,"2019-10-23 02:57:44"
27.8,"2019-10-23 02:57:34"
27.7,"2019-10-23 02:57:14"
27.9,"2019-10-23 02:55:34"
27.8,"2019-10-23 02:55:24"
27.9,"2019-10-23 02:54:34"
27.8,"2019-10-23 02:54:24"
27.9,"2019-10-23 02:54:14"
27.8,"2019-10-23 02:54:04"
27.9,"2019-10-23 02:53:54"
27.8,"2019-10-23 02:53:44"
27.9,"2019-10-23 02:53:34"
27.8,"2019-10-23 02:53:24"
27.9,"2019-10-23 02:52:34"
27.8,"2019-10-23 02:52:14"
27.9,"2019-10-23 02:51:44"
27.8,"2019-10-23 02:51:34"
27.9,"2019-10-23 02:51:04"
27.8,"2019-10-23 02:50:54"
27.9,"2019-10-23 02:50:44"
27.8,"2019-10-23 02:50:34"
27.9,"2019-10-23 02:50:04"
27.8,"2019-10-23 02:49:54"
27.9,"2019-10-23 02:49:24"
27.8,"2019-10-23 02:49:14"
27.9,"2019-10-23 02:48:54"
27.8,"2019-10-23 02:48:44"
27.9,"2019-10-23 02:48:14"
27.8,"2019-10-23 02:48:04"
27.9,"2019-10-23 02:47:24"
27.8,"2019-10-23 02:47:14"
27.9,"2019-10-23 02:46:34"
27.8,"2019-10-23 02:46:14"
27.9,"2019-10-23 02:44:24"
27.8,"2019-10-23 02:43:54"
27.9,"2019-10-23 02:43:44"
27.8,"2019-10-23 02:43:34"
27.9,"2019-10-23 02:42:14"
27.8,"2019-10-23 02:42:04"
27.9,"2019-10-23 02:41:34"
27.8,"2019-10-23 02:41:24"
27.9,"2019-10-23 02:40:14"
27.8,"2019-10-23 02:39:54"
27.9,"2019-10-23 02:39:14"
27.8,"2019-10-23 02:39:04"
27.9,"2019-10-23 02:38:34"
27.8,"2019-10-23 02:38:24"
27.9,"2019-10-23 02:38:14"
27.8,"2019-10-23 02:38:04"
27.9,"2019-10-23 02:37:34"
27.8,"2019-10-23 02:37:24"
27.9,"2019-10-23 02:37:14"
27.8,"2019-10-23 02:37:04"
27.9,"2019-10-23 02:36:34"
27.8,"2019-10-23 02:36:24"
27.9,"2019-10-23 02:35:54"
27.8,"2019-10-23 02:35:34"
27.9,"2019-10-23 02:35:14"
27.8,"2019-10-23 02:34:54"
27.9,"2019-10-23 02:34:34"
27.8,"2019-10-23 02:34:24"
27.9,"2019-10-23 02:33:04"
27.8,"2019-10-23 02:32:44"
27.9,"2019-10-23 02:32:04"
27.8,"2019-10-23 02:31:44"
27.9,"2019-10-23 02:30:44"
27.7,"2019-10-23 02:30:34"
27.9,"2019-10-23 02:29:54"
27.8,"2019-10-23 02:29:44"
27.9,"2019-10-23 02:28:54"
27.8,"2019-10-23 02:28:44"
27.7,"2019-10-23 02:28:34"
27.8,"2019-10-23 02:28:24"
27.9,"2019-10-23 02:27:54"
27.8,"2019-10-23 02:27:34"
27.9,"2019-10-23 02:27:24"
27.8,"2019-10-23 02:26:54"
27.9,"2019-10-23 02:26:24"
27.8,"2019-10-23 02:26:14"
27.7,"2019-10-23 02:26:04"
27.8,"2019-10-23 02:25:54"
27.7,"2019-10-23 02:25:44"
27.9,"2019-10-23 02:25:34"
27.8,"2019-10-23 02:25:24"
27.9,"2019-10-23 02:23:54"
27.8,"2019-10-23 02:23:44"
27.7,"2019-10-23 02:23:34"
27.9,"2019-10-23 02:22:54"
27.8,"2019-10-23 02:22:44"
27.9,"2019-10-23 02:22:24"
27.8,"2019-10-23 02:22:14"
27.9,"2019-10-23 02:21:24"
27.8,"2019-10-23 02:21:14"
27.9,"2019-10-23 02:20:54"
27.8,"2019-10-23 02:20:44"
27.7,"2019-10-23 02:20:34"
27.9,"2019-10-23 02:19:34"
27.8,"2019-10-23 02:19:24"
27.9,"2019-10-23 02:17:24"
27.8,"2019-10-23 02:17:14"
27.9,"2019-10-23 02:16:44"
27.8,"2019-10-23 02:16:24"
27.9,"2019-10-23 02:15:24"
27.8,"2019-10-23 02:14:54"
27.9,"2019-10-23 02:13:54"
27.8,"2019-10-23 02:13:34"
27.9,"2019-10-23 02:13:14"
27.8,"2019-10-23 02:13:04"
27.9,"2019-10-23 02:11:14"
27.8,"2019-10-23 02:11:04"
27.9,"2019-10-23 02:09:54"
27.8,"2019-10-23 02:09:44"
27.9,"2019-10-23 02:08:54"
27.8,"2019-10-23 02:08:34"
27.9,"2019-10-23 02:08:14"
27.8,"2019-10-23 02:08:04"
27.9,"2019-10-23 02:05:34"
27.8,"2019-10-23 02:05:24"
27.9,"2019-10-23 02:04:54"
27.8,"2019-10-23 02:04:34"
27.9,"2019-10-23 02:02:14"
27.8,"2019-10-23 02:02:04"
27.9,"2019-10-23 02:01:04"
27.8,"2019-10-23 02:00:54"
27.9,"2019-10-23 02:00:24"
27.8,"2019-10-23 02:00:14"
27.9,"2019-10-23 01:59:54"
27.8,"2019-10-23 01:59:34"
27.9,"2019-10-23 01:58:44"
27.8,"2019-10-23 01:58:34"
27.9,"2019-10-23 01:58:04"
27.8,"2019-10-23 01:57:54"
27.9,"2019-10-23 01:56:44"
27.8,"2019-10-23 01:56:34"
27.9,"2019-10-23 01:56:14"
27.8,"2019-10-23 01:56:04"
27.9,"2019-10-23 01:55:34"
27.8,"2019-10-23 01:55:24"
27.9,"2019-10-23 01:53:34"
27.8,"2019-10-23 01:53:24"
27.9,"2019-10-23 01:53:04"
27.8,"2019-10-23 01:52:54"
27.9,"2019-10-23 01:52:24"
27.7,"2019-10-23 01:52:14"
27.9,"2019-10-23 01:50:24"
27.8,"2019-10-23 01:50:14"
27.9,"2019-10-23 01:49:44"
27.8,"2019-10-23 01:49:34"
27.9,"2019-10-23 01:49:14"
27.8,"2019-10-23 01:49:04"
27.9,"2019-10-23 01:47:54"
27.8,"2019-10-23 01:47:44"
27.9,"2019-10-23 01:44:34"
27.8,"2019-10-23 01:44:24"
27.9,"2019-10-23 01:44:04"
27.8,"2019-10-23 01:43:44"
27.9,"2019-10-23 01:43:04"
27.8,"2019-10-23 01:42:24"
27.9,"2019-10-23 01:42:04"
27.8,"2019-10-23 01:41:54"
27.9,"2019-10-23 01:41:24"
27.8,"2019-10-23 01:41:04"
27.9,"2019-10-23 01:40:44"
27.8,"2019-10-23 01:40:34"
27.9,"2019-10-23 01:39:24"
27.8,"2019-10-23 01:39:14"
27.9,"2019-10-23 01:38:04"
27.8,"2019-10-23 01:37:54"
27.9,"2019-10-23 01:37:44"
27.8,"2019-10-23 01:37:24"
27.9,"2019-10-23 01:36:04"
27.8,"2019-10-23 01:35:44"
27.9,"2019-10-23 01:35:34"
27.8,"2019-10-23 01:35:24"
27.9,"2019-10-23 01:34:34"
27.8,"2019-10-23 01:34:24"
27.9,"2019-10-23 01:33:54"
27.8,"2019-10-23 01:33:34"
27.9,"2019-10-23 01:32:54"
27.8,"2019-10-23 01:32:34"
27.9,"2019-10-23 01:29:54"
27.8,"2019-10-23 01:29:44"
27.9,"2019-10-23 01:29:04"
27.8,"2019-10-23 01:28:44"
27.9,"2019-10-23 01:28:24"
27.8,"2019-10-23 01:28:14"
27.9,"2019-10-23 01:28:04"
27.8,"2019-10-23 01:27:54"
27.9,"2019-10-23 01:27:34"
27.8,"2019-10-23 01:27:24"
27.9,"2019-10-23 01:26:04"
27.8,"2019-10-23 01:25:44"
27.9,"2019-10-23 01:24:34"
27.8,"2019-10-23 01:24:24"
27.9,"2019-10-23 01:24:04"
27.8,"2019-10-23 01:23:54"
27.9,"2019-10-23 01:02:04"
28.0,"2019-10-23 01:01:54"
27.9,"2019-10-23 01:01:44"
28.0,"2019-10-23 01:00:34"
27.9,"2019-10-23 01:00:24"
28.0,"2019-10-23 00:59:14"
27.9,"2019-10-23 00:58:54"
28.0,"2019-10-23 00:58:34"
27.9,"2019-10-23 00:57:24"
28.0,"2019-10-23 00:56:54"
27.9,"2019-10-23 00:56:44"
28.0,"2019-10-23 00:55:34"
27.9,"2019-10-23 00:55:24"
28.0,"2019-10-23 00:55:04"
27.9,"2019-10-23 00:54:54"
28.0,"2019-10-23 00:54:44"
27.9,"2019-10-23 00:54:24"
28.0,"2019-10-23 00:53:54"
27.9,"2019-10-23 00:53:44"
28.0,"2019-10-23 00:53:15"
27.9,"2019-10-23 00:53:04"
28.0,"2019-10-23 00:52:04"
27.9,"2019-10-23 00:51:24"
28.0,"2019-10-23 00:51:14"
27.9,"2019-10-23 00:51:04"
28.0,"2019-10-23 00:50:54"
27.9,"2019-10-23 00:50:44"
28.0,"2019-10-23 00:50:34"
27.9,"2019-10-23 00:50:24"
28.0,"2019-10-23 00:50:14"
27.9,"2019-10-23 00:50:04"
28.0,"2019-10-23 00:49:24"
27.9,"2019-10-23 00:49:04"
28.0,"2019-10-23 00:48:54"
27.9,"2019-10-23 00:48:44"
28.0,"2019-10-23 00:48:24"
27.9,"2019-10-23 00:47:44"
28.0,"2019-10-23 00:47:04"
27.9,"2019-10-23 00:46:54"
28.0,"2019-10-23 00:46:44"
27.9,"2019-10-23 00:46:34"
28.0,"2019-10-23 00:45:54"
