temp_in,statetime
27.0,"2019-10-23 14:42:55"
26.9,"2019-10-23 14:41:45"
26.8,"2019-10-23 14:41:15"
26.7,"2019-10-23 14:40:15"
26.6,"2019-10-23 14:39:15"
26.5,"2019-10-23 14:38:45"
26.4,"2019-10-23 14:37:55"
26.3,"2019-10-23 14:37:35"
26.2,"2019-10-23 14:37:15"
26.1,"2019-10-23 14:36:45"
26.0,"2019-10-23 14:36:05"
25.9,"2019-10-23 14:35:25"
25.8,"2019-10-23 14:35:15"
25.7,"2019-10-23 14:35:05"
25.8,"2019-10-23 14:34:56"
25.7,"2019-10-23 14:34:35"
25.6,"2019-10-23 14:33:55"
25.5,"2019-10-23 14:33:25"
25.4,"2019-10-23 14:32:55"
25.3,"2019-10-23 14:32:35"
25.2,"2019-10-23 14:31:55"
25.1,"2019-10-23 14:31:25"
25.0,"2019-10-23 14:31:05"
24.9,"2019-10-23 14:29:35"
25.0,"2019-10-23 14:29:25"
25.1,"2019-10-23 14:27:26"
25.0,"2019-10-23 14:26:55"
24.9,"2019-10-23 14:26:05"
25.0,"2019-10-23 14:25:55"
25.1,"2019-10-23 14:25:25"
25.2,"2019-10-23 14:24:45"
25.1,"2019-10-23 14:23:55"
25.0,"2019-10-23 14:23:35"
25.1,"2019-10-23 14:22:55"
25.2,"2019-10-23 14:22:05"
25.3,"2019-10-23 14:21:15"
25.2,"2019-10-23 14:20:35"
25.1,"2019-10-23 14:19:35"
25.2,"2019-10-23 14:18:55"
25.3,"2019-10-23 14:18:15"
25.2,"2019-10-23 14:17:45"
25.1,"2019-10-23 14:16:25"
25.2,"2019-10-23 14:14:35"
25.1,"2019-10-23 14:14:05"
25.0,"2019-10-23 14:13:05"
25.1,"2019-10-23 14:12:15"
25.2,"2019-10-23 14:11:05"
25.1,"2019-10-23 14:09:45"
25.2,"2019-10-23 14:09:05"
25.3,"2019-10-23 14:08:35"
25.2,"2019-10-23 14:07:45"
25.1,"2019-10-23 14:06:07"
25.2,"2019-10-23 14:05:35"
25.3,"2019-10-23 14:04:55"
25.2,"2019-10-23 14:04:15"
25.1,"2019-10-23 14:03:25"
25.2,"2019-10-23 14:02:55"
25.3,"2019-10-23 14:02:35"
25.4,"2019-10-23 14:02:15"
25.3,"2019-10-23 14:01:45"
25.2,"2019-10-23 14:00:15"
25.3,"2019-10-23 13:59:55"
25.4,"2019-10-23 13:59:35"
25.5,"2019-10-23 13:58:25"
25.4,"2019-10-23 13:57:35"
25.3,"2019-10-23 13:56:15"
25.2,"2019-10-23 13:55:05"
25.1,"2019-10-23 13:54:15"
25.0,"2019-10-23 13:53:55"
24.9,"2019-10-23 13:52:55"
25.0,"2019-10-23 13:52:45"
25.1,"2019-10-23 13:51:15"
25.0,"2019-10-23 13:51:05"
24.9,"2019-10-23 13:50:15"
24.8,"2019-10-23 13:49:45"
24.9,"2019-10-23 13:48:55"
25.0,"2019-10-23 13:47:45"
24.9,"2019-10-23 13:47:15"
24.8,"2019-10-23 13:46:35"
24.7,"2019-10-23 13:44:35"
24.8,"2019-10-23 13:42:55"
24.7,"2019-10-23 13:41:05"
24.8,"2019-10-23 13:40:05"
24.7,"2019-10-23 13:39:25"
24.6,"2019-10-23 13:38:35"
24.7,"2019-10-23 13:38:25"
24.6,"2019-10-23 13:37:15"
24.7,"2019-10-23 13:36:05"
24.8,"2019-10-23 13:35:35"
24.9,"2019-10-23 13:34:45"
24.8,"2019-10-23 13:34:25"
24.9,"2019-10-23 13:34:05"
25.0,"2019-10-23 13:33:55"
25.1,"2019-10-23 13:33:15"
25.0,"2019-10-23 13:32:55"
25.1,"2019-10-23 13:32:25"
25.2,"2019-10-23 13:30:34"
25.1,"2019-10-23 13:27:34"
25.0,"2019-10-23 13:26:54"
24.9,"2019-10-23 13:26:04"
24.8,"2019-10-23 13:25:34"
24.7,"2019-10-23 13:24:54"
24.6,"2019-10-23 13:24:24"
24.5,"2019-10-23 13:23:54"
24.4,"2019-10-23 13:23:44"
24.5,"2019-10-23 13:23:14"
24.6,"2019-10-23 13:22:24"
24.7,"2019-10-23 13:21:54"
24.8,"2019-10-23 13:21:34"
24.9,"2019-10-23 13:20:54"
25.0,"2019-10-23 13:20:44"
25.1,"2019-10-23 13:20:14"
25.0,"2019-10-23 13:19:54"
25.1,"2019-10-23 13:19:24"
25.2,"2019-10-23 13:16:44"
25.1,"2019-10-23 13:15:14"
25.0,"2019-10-23 13:14:54"
25.1,"2019-10-23 13:14:34"
25.0,"2019-10-23 13:14:04"
24.9,"2019-10-23 13:13:04"
24.8,"2019-10-23 13:12:24"
24.7,"2019-10-23 13:11:44"
24.6,"2019-10-23 13:11:14"
24.5,"2019-10-23 13:10:44"
24.4,"2019-10-23 13:10:24"
24.5,"2019-10-23 13:09:14"
24.6,"2019-10-23 13:08:24"
24.7,"2019-10-23 13:07:34"
24.8,"2019-10-23 13:06:44"
24.9,"2019-10-23 13:06:14"
25.0,"2019-10-23 13:06:04"
25.1,"2019-10-23 13:05:44"
25.2,"2019-10-23 13:05:24"
25.3,"2019-10-23 13:05:14"
25.2,"2019-10-23 13:03:04"
25.3,"2019-10-23 13:02:04"
25.2,"2019-10-23 13:01:14"
25.3,"2019-10-23 13:00:44"
25.4,"2019-10-23 13:00:34"
25.3,"2019-10-23 12:59:45"
25.4,"2019-10-23 12:59:34"
25.3,"2019-10-23 12:58:54"
25.4,"2019-10-23 12:58:34"
25.3,"2019-10-23 12:57:14"
25.2,"2019-10-23 12:57:04"
25.3,"2019-10-23 12:56:44"
25.2,"2019-10-23 12:55:44"
25.1,"2019-10-23 12:55:04"
25.0,"2019-10-23 12:54:14"
25.1,"2019-10-23 12:53:04"
25.2,"2019-10-23 12:50:54"
25.1,"2019-10-23 12:50:14"
25.0,"2019-10-23 12:50:04"
24.9,"2019-10-23 12:49:24"
25.0,"2019-10-23 12:49:04"
25.1,"2019-10-23 12:47:44"
25.0,"2019-10-23 12:47:14"
24.9,"2019-10-23 12:46:44"
24.8,"2019-10-23 12:46:34"
24.9,"2019-10-23 12:46:24"
24.8,"2019-10-23 12:46:14"
24.9,"2019-10-23 12:45:34"
25.0,"2019-10-23 12:45:14"
25.1,"2019-10-23 12:43:24"
25.0,"2019-10-23 12:43:04"
25.1,"2019-10-23 12:41:04"
25.0,"2019-10-23 12:40:54"
25.1,"2019-10-23 12:40:04"
25.0,"2019-10-23 12:39:34"
24.9,"2019-10-23 12:38:04"
24.8,"2019-10-23 12:37:24"
24.7,"2019-10-23 12:37:04"
24.8,"2019-10-23 12:36:04"
24.9,"2019-10-23 12:35:54"
24.8,"2019-10-23 12:35:44"
24.9,"2019-10-23 12:35:14"
25.0,"2019-10-23 12:34:54"
24.9,"2019-10-23 12:33:34"
24.8,"2019-10-23 12:32:54"
24.9,"2019-10-23 12:32:04"
25.0,"2019-10-23 12:31:24"
24.9,"2019-10-23 12:31:14"
25.0,"2019-10-23 12:29:24"
24.9,"2019-10-23 12:28:04"
25.0,"2019-10-23 12:27:14"
25.1,"2019-10-23 12:25:44"
25.0,"2019-10-23 12:25:14"
24.9,"2019-10-23 12:25:04"
25.0,"2019-10-23 12:24:36"
25.1,"2019-10-23 12:24:04"
25.2,"2019-10-23 12:22:54"
25.1,"2019-10-23 12:22:14"
25.0,"2019-10-23 12:21:54"
24.9,"2019-10-23 12:21:44"
25.0,"2019-10-23 12:21:34"
24.9,"2019-10-23 12:21:24"
25.0,"2019-10-23 12:20:34"
25.1,"2019-10-23 12:19:14"
25.0,"2019-10-23 12:18:54"
24.9,"2019-10-23 12:18:34"
25.0,"2019-10-23 12:18:24"
24.9,"2019-10-23 12:18:14"
25.0,"2019-10-23 12:17:54"
25.1,"2019-10-23 12:17:14"
25.2,"2019-10-23 12:16:44"
25.1,"2019-10-23 12:15:44"
25.0,"2019-10-23 12:15:04"
24.9,"2019-10-23 12:14:34"
25.0,"2019-10-23 12:14:24"
24.9,"2019-10-23 12:14:14"
25.0,"2019-10-23 12:13:54"
25.1,"2019-10-23 12:13:14"
25.2,"2019-10-23 12:11:54"
25.1,"2019-10-23 12:11:14"
25.0,"2019-10-23 12:09:54"
25.1,"2019-10-23 12:08:54"
25.2,"2019-10-23 12:08:44"
25.1,"2019-10-23 12:07:44"
25.0,"2019-10-23 12:06:34"
25.1,"2019-10-23 12:05:44"
25.2,"2019-10-23 12:03:44"
25.1,"2019-10-23 12:03:24"
25.2,"2019-10-23 12:03:14"
25.1,"2019-10-23 12:02:54"
