temp_out,statetime
39.0,"2019-10-23 14:40:06"
38.0,"2019-10-23 14:39:36"
39.0,"2019-10-23 14:35:06"
40.0,"2019-10-23 14:33:36"
39.0,"2019-10-23 14:33:06"
40.0,"2019-10-23 14:32:36"
39.0,"2019-10-23 14:30:06"
38.0,"2019-10-23 14:29:36"
39.0,"2019-10-23 14:28:36"
41.0,"2019-10-23 14:28:06"
40.0,"2019-10-23 14:27:06"
39.0,"2019-10-23 14:23:37"
41.0,"2019-10-23 14:22:06"
40.0,"2019-10-23 14:21:36"
39.0,"2019-10-23 14:20:06"
41.0,"2019-10-23 14:19:36"
40.0,"2019-10-23 14:19:06"
39.0,"2019-10-23 14:18:36"
41.0,"2019-10-23 14:18:06"
40.0,"2019-10-23 14:17:36"
41.0,"2019-10-23 14:14:36"
39.0,"2019-10-23 14:14:06"
40.0,"2019-10-23 14:13:36"
42.0,"2019-10-23 14:13:06"
41.0,"2019-10-23 14:12:36"
42.0,"2019-10-23 14:12:06"
41.0,"2019-10-23 14:07:06"
40.0,"2019-10-23 14:06:06"
41.0,"2019-10-23 14:03:37"
39.0,"2019-10-23 14:02:06"
40.0,"2019-10-23 14:01:06"
41.0,"2019-10-23 14:00:36"
40.0,"2019-10-23 14:00:06"
39.0,"2019-10-23 13:59:36"
40.0,"2019-10-23 13:59:06"
39.0,"2019-10-23 13:57:36"
41.0,"2019-10-23 13:57:06"
39.0,"2019-10-23 13:56:36"
38.0,"2019-10-23 13:55:06"
39.0,"2019-10-23 13:54:06"
40.0,"2019-10-23 13:53:36"
39.0,"2019-10-23 13:49:36"
41.0,"2019-10-23 13:49:06"
40.0,"2019-10-23 13:48:36"
39.0,"2019-10-23 13:48:06"
40.0,"2019-10-23 13:47:36"
39.0,"2019-10-23 13:46:36"
41.0,"2019-10-23 13:44:36"
42.0,"2019-10-23 13:42:36"
41.0,"2019-10-23 13:42:06"
40.0,"2019-10-23 13:41:36"
39.0,"2019-10-23 13:41:06"
40.0,"2019-10-23 13:40:36"
41.0,"2019-10-23 13:39:06"
42.0,"2019-10-23 13:38:36"
41.0,"2019-10-23 13:34:36"
42.0,"2019-10-23 13:32:36"
43.0,"2019-10-23 13:31:36"
42.0,"2019-10-23 13:31:06"
43.0,"2019-10-23 13:30:36"
42.0,"2019-10-23 13:26:06"
43.0,"2019-10-23 13:23:06"
42.0,"2019-10-23 13:22:36"
41.0,"2019-10-23 13:22:06"
42.0,"2019-10-23 13:21:06"
43.0,"2019-10-23 13:19:36"
42.0,"2019-10-23 13:16:36"
43.0,"2019-10-23 13:15:36"
42.0,"2019-10-23 13:12:06"
41.0,"2019-10-23 13:10:06"
40.0,"2019-10-23 13:09:36"
39.0,"2019-10-23 13:08:06"
38.0,"2019-10-23 13:07:06"
37.0,"2019-10-23 13:06:36"
36.0,"2019-10-23 13:06:06"
35.0,"2019-10-23 13:05:36"
34.0,"2019-10-23 13:05:06"
33.0,"2019-10-23 13:02:36"
32.0,"2019-10-23 12:56:06"
33.0,"2019-10-23 12:54:36"
32.0,"2019-10-23 12:39:06"
31.0,"2019-10-23 12:34:36"
30.0,"2019-10-23 12:32:06"
31.0,"2019-10-23 12:30:06"
30.0,"2019-10-23 12:28:06"
31.0,"2019-10-23 12:27:36"
30.0,"2019-10-23 12:25:36"
31.0,"2019-10-23 12:24:06"
30.0,"2019-10-23 12:21:06"
31.0,"2019-10-23 12:19:36"
32.0,"2019-10-23 12:18:36"
31.0,"2019-10-23 12:17:36"
32.0,"2019-10-23 12:16:06"
31.0,"2019-10-23 12:03:07"
32.0,"2019-10-23 12:00:06"
31.0,"2019-10-23 11:45:06"
30.0,"2019-10-23 11:43:36"
31.0,"2019-10-23 11:43:06"
30.0,"2019-10-23 11:36:06"
29.0,"2019-10-23 11:29:06"
30.0,"2019-10-23 11:28:36"
29.0,"2019-10-23 11:26:37"
30.0,"2019-10-23 11:26:06"
29.0,"2019-10-23 11:24:36"
30.0,"2019-10-23 11:23:06"
29.0,"2019-10-23 11:21:06"
30.0,"2019-10-23 11:20:36"
29.0,"2019-10-23 11:17:06"
30.0,"2019-10-23 11:16:36"
29.0,"2019-10-23 11:15:35"
30.0,"2019-10-23 11:12:36"
29.0,"2019-10-23 11:12:06"
30.0,"2019-10-23 11:10:36"
29.0,"2019-10-23 11:10:05"
30.0,"2019-10-23 11:09:35"
29.0,"2019-10-23 10:58:35"
28.0,"2019-10-23 10:37:35"
27.0,"2019-10-23 10:32:35"
28.0,"2019-10-23 10:28:05"
27.0,"2019-10-23 10:12:36"
26.0,"2019-10-23 10:12:05"
27.0,"2019-10-23 10:11:05"
26.0,"2019-10-23 10:10:35"
27.0,"2019-10-23 10:10:05"
26.0,"2019-10-23 10:09:05"
27.0,"2019-10-23 10:08:05"
26.0,"2019-10-23 09:33:05"
25.0,"2019-10-23 09:31:35"
26.0,"2019-10-23 09:31:05"
25.0,"2019-10-23 09:17:05"
24.0,"2019-10-23 09:09:35"
25.0,"2019-10-23 09:08:05"
24.0,"2019-10-23 09:06:05"
25.0,"2019-10-23 09:05:35"
24.0,"2019-10-23 09:05:05"
25.0,"2019-10-23 09:04:35"
24.0,"2019-10-23 09:04:05"
25.0,"2019-10-23 08:58:35"
24.0,"2019-10-23 08:49:35"
25.0,"2019-10-23 08:49:05"
24.0,"2019-10-23 08:41:35"
25.0,"2019-10-23 08:40:05"
24.0,"2019-10-23 08:39:35"
25.0,"2019-10-23 08:38:05"
24.0,"2019-10-23 08:37:05"
25.0,"2019-10-23 08:36:35"
24.0,"2019-10-23 07:34:35"
23.0,"2019-10-23 07:34:05"
24.0,"2019-10-23 07:28:35"
23.0,"2019-10-23 07:26:05"
24.0,"2019-10-23 07:25:35"
23.0,"2019-10-23 07:03:35"
22.0,"2019-10-23 07:02:35"
23.0,"2019-10-23 06:58:35"
22.0,"2019-10-23 06:38:35"
23.0,"2019-10-23 06:38:05"
22.0,"2019-10-23 06:14:05"
21.0,"2019-10-23 06:13:35"
22.0,"2019-10-23 06:12:35"
21.0,"2019-10-23 04:45:35"
20.0,"2019-10-23 04:45:05"
21.0,"2019-10-23 04:44:35"
20.0,"2019-10-23 04:43:35"
21.0,"2019-10-23 04:42:35"
20.0,"2019-10-23 04:42:05"
21.0,"2019-10-23 04:41:05"
20.0,"2019-10-23 04:40:35"
21.0,"2019-10-23 04:39:35"
20.0,"2019-10-23 04:39:05"
21.0,"2019-10-23 04:38:05"
20.0,"2019-10-23 04:37:35"
21.0,"2019-10-23 04:36:05"
20.0,"2019-10-23 04:29:35"
21.0,"2019-10-23 04:27:35"
20.0,"2019-10-23 04:25:35"
21.0,"2019-10-23 04:25:05"
20.0,"2019-10-23 04:20:35"
21.0,"2019-10-23 04:20:05"
20.0,"2019-10-23 04:19:05"
21.0,"2019-10-23 04:17:35"
20.0,"2019-10-23 04:16:35"
21.0,"2019-10-23 04:10:35"
20.0,"2019-10-23 04:06:35"
21.0,"2019-10-23 04:05:05"
20.0,"2019-10-23 04:04:05"
21.0,"2019-10-23 04:03:35"
20.0,"2019-10-23 03:19:05"
21.0,"2019-10-23 03:18:35"
20.0,"2019-10-23 03:17:05"
21.0,"2019-10-23 03:16:35"
20.0,"2019-10-23 03:16:05"
21.0,"2019-10-23 03:15:05"
20.0,"2019-10-23 03:14:35"
