humidity_in,statetime
50.0,"2019-10-23 11:57:14"
51.0,"2019-10-23 11:57:04"
52.0,"2019-10-23 11:56:54"
53.0,"2019-10-23 11:56:34"
52.0,"2019-10-23 11:56:14"
50.0,"2019-10-23 11:56:04"
49.0,"2019-10-23 11:55:54"
48.0,"2019-10-23 11:54:54"
49.0,"2019-10-23 11:53:54"
50.0,"2019-10-23 11:53:34"
49.0,"2019-10-23 11:53:24"
50.0,"2019-10-23 11:52:44"
51.0,"2019-10-23 11:52:24"
52.0,"2019-10-23 11:51:44"
51.0,"2019-10-23 11:51:24"
50.0,"2019-10-23 11:51:14"
49.0,"2019-10-23 11:51:04"
48.0,"2019-10-23 11:50:54"
47.0,"2019-10-23 11:50:34"
46.0,"2019-10-23 11:50:24"
45.0,"2019-10-23 11:50:14"
44.0,"2019-10-23 11:50:04"
41.0,"2019-10-23 11:49:54"
40.0,"2019-10-23 11:48:34"
41.0,"2019-10-23 11:47:44"
42.0,"2019-10-23 11:47:04"
43.0,"2019-10-23 11:45:24"
44.0,"2019-10-23 11:44:44"
43.0,"2019-10-23 11:43:44"
42.0,"2019-10-23 11:43:24"
43.0,"2019-10-23 11:42:54"
44.0,"2019-10-23 11:42:44"
43.0,"2019-10-23 11:42:24"
44.0,"2019-10-23 11:42:14"
43.0,"2019-10-23 11:41:54"
44.0,"2019-10-23 11:41:24"
43.0,"2019-10-23 11:41:04"
44.0,"2019-10-23 11:40:54"
43.0,"2019-10-23 11:40:34"
42.0,"2019-10-23 11:40:04"
41.0,"2019-10-23 11:38:34"
40.0,"2019-10-23 11:38:24"
41.0,"2019-10-23 11:38:14"
40.0,"2019-10-23 11:37:44"
39.0,"2019-10-23 11:37:34"
40.0,"2019-10-23 11:37:14"
39.0,"2019-10-23 11:37:04"
40.0,"2019-10-23 11:36:44"
39.0,"2019-10-23 11:36:24"
38.0,"2019-10-23 11:36:14"
39.0,"2019-10-23 11:35:34"
40.0,"2019-10-23 11:35:24"
39.0,"2019-10-23 11:35:14"
40.0,"2019-10-23 11:34:34"
39.0,"2019-10-23 11:34:24"
40.0,"2019-10-23 11:33:04"
39.0,"2019-10-23 11:32:54"
40.0,"2019-10-23 11:32:34"
39.0,"2019-10-23 11:30:44"
38.0,"2019-10-23 11:30:34"
39.0,"2019-10-23 11:30:24"
38.0,"2019-10-23 11:29:34"
39.0,"2019-10-23 11:29:14"
40.0,"2019-10-23 11:29:04"
39.0,"2019-10-23 11:27:24"
38.0,"2019-10-23 11:26:04"
39.0,"2019-10-23 11:25:54"
38.0,"2019-10-23 11:24:04"
39.0,"2019-10-23 11:23:54"
38.0,"2019-10-23 11:23:04"
39.0,"2019-10-23 11:22:34"
38.0,"2019-10-23 11:22:14"
39.0,"2019-10-23 11:21:04"
40.0,"2019-10-23 11:20:44"
41.0,"2019-10-23 11:19:34"
40.0,"2019-10-23 11:19:04"
39.0,"2019-10-23 11:18:54"
40.0,"2019-10-23 11:17:14"
41.0,"2019-10-23 11:16:54"
42.0,"2019-10-23 11:15:54"
41.0,"2019-10-23 11:15:44"
42.0,"2019-10-23 11:15:34"
41.0,"2019-10-23 11:15:14"
40.0,"2019-10-23 11:14:54"
41.0,"2019-10-23 11:13:14"
40.0,"2019-10-23 11:12:44"
41.0,"2019-10-23 11:12:24"
40.0,"2019-10-23 11:12:14"
41.0,"2019-10-23 11:12:04"
40.0,"2019-10-23 11:11:44"
39.0,"2019-10-23 11:10:54"
40.0,"2019-10-23 11:10:44"
41.0,"2019-10-23 11:10:14"
40.0,"2019-10-23 11:09:44"
39.0,"2019-10-23 11:08:24"
40.0,"2019-10-23 11:08:04"
39.0,"2019-10-23 11:07:14"
40.0,"2019-10-23 11:07:04"
41.0,"2019-10-23 11:06:54"
40.0,"2019-10-23 11:06:04"
41.0,"2019-10-23 11:05:13"
40.0,"2019-10-23 11:04:44"
41.0,"2019-10-23 11:04:34"
42.0,"2019-10-23 11:02:24"
41.0,"2019-10-23 11:01:44"
40.0,"2019-10-23 11:01:14"
41.0,"2019-10-23 11:01:04"
40.0,"2019-10-23 11:00:14"
39.0,"2019-10-23 10:59:54"
38.0,"2019-10-23 10:59:44"
37.0,"2019-10-23 10:59:24"
38.0,"2019-10-23 10:58:54"
39.0,"2019-10-23 10:58:44"
40.0,"2019-10-23 10:58:34"
39.0,"2019-10-23 10:57:54"
38.0,"2019-10-23 10:57:44"
37.0,"2019-10-23 10:57:34"
36.0,"2019-10-23 10:56:34"
37.0,"2019-10-23 10:56:24"
36.0,"2019-10-23 10:56:04"
37.0,"2019-10-23 10:47:24"
38.0,"2019-10-23 10:44:46"
39.0,"2019-10-23 10:43:04"
40.0,"2019-10-23 10:41:04"
41.0,"2019-10-23 10:39:54"
40.0,"2019-10-23 10:39:44"
41.0,"2019-10-23 10:39:24"
42.0,"2019-10-23 10:39:14"
41.0,"2019-10-23 10:38:14"
40.0,"2019-10-23 10:37:34"
41.0,"2019-10-23 10:37:24"
40.0,"2019-10-23 10:36:04"
41.0,"2019-10-23 10:35:04"
40.0,"2019-10-23 10:34:54"
41.0,"2019-10-23 10:33:54"
40.0,"2019-10-23 10:32:44"
41.0,"2019-10-23 10:31:24"
40.0,"2019-10-23 10:31:14"
41.0,"2019-10-23 10:28:44"
40.0,"2019-10-23 10:28:04"
41.0,"2019-10-23 10:25:14"
40.0,"2019-10-23 10:24:34"
39.0,"2019-10-23 10:24:14"
37.0,"2019-10-23 10:22:24"
38.0,"2019-10-23 10:22:04"
37.0,"2019-10-23 10:21:14"
38.0,"2019-10-23 10:20:54"
37.0,"2019-10-23 10:19:54"
38.0,"2019-10-23 10:19:44"
37.0,"2019-10-23 10:19:34"
38.0,"2019-10-23 10:04:34"
37.0,"2019-10-23 10:04:24"
38.0,"2019-10-23 09:43:04"
37.0,"2019-10-23 09:42:24"
38.0,"2019-10-23 09:42:04"
37.0,"2019-10-23 09:41:54"
38.0,"2019-10-23 09:41:14"
37.0,"2019-10-23 09:40:44"
38.0,"2019-10-23 09:31:34"
39.0,"2019-10-23 09:31:14"
38.0,"2019-10-23 09:30:54"
39.0,"2019-10-23 09:30:44"
38.0,"2019-10-23 09:30:34"
39.0,"2019-10-23 09:25:54"
40.0,"2019-10-23 09:25:44"
39.0,"2019-10-23 09:25:14"
38.0,"2019-10-23 09:25:04"
39.0,"2019-10-23 09:18:04"
40.0,"2019-10-23 09:17:44"
39.0,"2019-10-23 09:17:34"
40.0,"2019-10-23 09:17:24"
39.0,"2019-10-23 09:17:14"
40.0,"2019-10-23 09:12:54"
39.0,"2019-10-23 09:12:44"
40.0,"2019-10-23 09:12:34"
39.0,"2019-10-23 09:11:54"
40.0,"2019-10-23 09:11:34"
39.0,"2019-10-23 09:11:24"
40.0,"2019-10-23 09:02:44"
41.0,"2019-10-23 09:02:34"
40.0,"2019-10-23 09:02:24"
41.0,"2019-10-23 09:01:44"
42.0,"2019-10-23 09:00:45"
41.0,"2019-10-23 08:59:44"
42.0,"2019-10-23 08:57:44"
41.0,"2019-10-23 08:55:44"
42.0,"2019-10-23 08:55:24"
41.0,"2019-10-23 08:52:24"
40.0,"2019-10-23 08:49:44"
41.0,"2019-10-23 08:47:54"
40.0,"2019-10-23 08:46:04"
39.0,"2019-10-23 08:45:54"
40.0,"2019-10-23 08:42:54"
41.0,"2019-10-23 08:42:44"
40.0,"2019-10-23 08:41:54"
41.0,"2019-10-23 08:39:24"
42.0,"2019-10-23 08:38:14"
41.0,"2019-10-23 08:37:24"
42.0,"2019-10-23 08:37:14"
43.0,"2019-10-23 08:37:04"
41.0,"2019-10-23 08:36:44"
42.0,"2019-10-23 08:35:34"
41.0,"2019-10-23 08:35:14"
42.0,"2019-10-23 08:34:34"
41.0,"2019-10-23 08:34:24"
42.0,"2019-10-23 08:33:54"
41.0,"2019-10-23 08:33:44"
42.0,"2019-10-23 08:33:14"
43.0,"2019-10-23 08:32:54"
42.0,"2019-10-23 08:31:24"
43.0,"2019-10-23 08:31:14"
42.0,"2019-10-23 08:30:34"
43.0,"2019-10-23 08:30:24"
42.0,"2019-10-23 08:29:34"
41.0,"2019-10-23 08:29:04"
42.0,"2019-10-23 08:28:14"
43.0,"2019-10-23 08:26:44"
42.0,"2019-10-23 08:26:04"
43.0,"2019-10-23 08:25:54"
42.0,"2019-10-23 08:25:04"
43.0,"2019-10-23 08:24:54"
42.0,"2019-10-23 08:24:34"
43.0,"2019-10-23 08:24:24"
42.0,"2019-10-23 08:23:04"
43.0,"2019-10-23 08:22:54"
42.0,"2019-10-23 08:21:24"
41.0,"2019-10-23 08:19:54"
42.0,"2019-10-23 08:19:24"
40.0,"2019-10-23 08:18:44"
41.0,"2019-10-23 08:18:34"
40.0,"2019-10-23 08:18:24"
41.0,"2019-10-23 08:17:54"
40.0,"2019-10-23 08:17:44"
41.0,"2019-10-23 08:17:04"
42.0,"2019-10-23 08:12:04"
41.0,"2019-10-23 08:11:44"
42.0,"2019-10-23 08:11:34"
41.0,"2019-10-23 08:10:34"
40.0,"2019-10-23 08:09:54"
41.0,"2019-10-23 08:08:34"
40.0,"2019-10-23 08:07:34"
39.0,"2019-10-23 08:07:24"
40.0,"2019-10-23 08:04:44"
41.0,"2019-10-23 08:04:34"
40.0,"2019-10-23 08:04:24"
41.0,"2019-10-23 08:03:54"
42.0,"2019-10-23 08:03:44"
41.0,"2019-10-23 08:03:04"
42.0,"2019-10-23 07:58:14"
41.0,"2019-10-23 07:57:54"
42.0,"2019-10-23 07:51:05"
41.0,"2019-10-23 07:49:44"
42.0,"2019-10-23 07:48:04"
41.0,"2019-10-23 07:47:04"
42.0,"2019-10-23 07:46:34"
41.0,"2019-10-23 07:46:14"
42.0,"2019-10-23 07:45:24"
41.0,"2019-10-23 07:45:04"
42.0,"2019-10-23 07:43:34"
41.0,"2019-10-23 07:43:14"
42.0,"2019-10-23 07:41:04"
41.0,"2019-10-23 07:39:34"
42.0,"2019-10-23 07:37:54"
41.0,"2019-10-23 07:37:34"
42.0,"2019-10-23 07:37:24"
41.0,"2019-10-23 07:36:14"
42.0,"2019-10-23 07:36:04"
